Wall time,Step,Value
1749910253.2243001,0,2.3960788249969482
1749910471.783231,1,2.1674442291259766
1749910700.6492999,2,1.7583738565444946
1749910914.502642,3,1.2474602460861206
1749911163.145699,4,1.0351675748825073
1749911510.4029,5,0.9138475060462952
1749912689.8580701,6,0.8066628575325012
1749913010.665104,7,0.6751283407211304
1749913311.317438,8,0.6654862761497498
1749913613.919254,9,0.6266751289367676
1749913921.8084202,10,0.5340725779533386
1749914222.535382,11,0.5263010859489441
1749914529.211122,12,0.5197855830192566
1749915191.489849,13,0.4567379355430603
1749915499.333506,14,0.4784509539604187
1749915796.480972,15,0.4410279095172882
1749916096.288416,16,0.44342461228370667
1749916389.83378,17,0.43292078375816345
1749916688.004409,18,0.43413662910461426
1749916974.3232708,19,0.34551727771759033
1749917264.773433,20,0.35406237840652466
1749917677.069557,21,0.35163742303848267
1749919242.168288,22,0.33005407452583313
1749919552.764286,23,0.29078730940818787
1749919867.715639,24,0.2879568338394165
1749920176.118848,25,0.251964271068573
1749920481.6690528,26,0.30775773525238037
1749808398.363551,27,0.20480290055274963
1749808618.503671,28,0.18860390782356262
1749808864.9522471,29,0.18656566739082336
1749809105.521915,30,0.19307847321033478
1749809350.17217,31,0.19520126283168793
1749811408.7349172,32,0.16787178814411163
1749811774.590494,33,0.1722194403409958
1749812029.3123908,34,0.16795779764652252
1749812288.4944692,35,0.1574958860874176
1749813220.615117,36,0.14258068799972534
1749813478.3533912,37,0.14178594946861267
1749813732.28906,38,0.13465924561023712
1749814005.911552,39,0.1296250969171524
1749814268.786883,40,0.12112350016832352
1749814592.0312252,41,0.1221565380692482
1749814865.579406,42,0.11351774632930756
1749815155.66238,43,0.08611898869276047
1749815447.915025,44,0.09575851261615753
1749815719.74276,45,0.11367285251617432
1749815983.1245482,46,0.09544913470745087
1749816247.101045,47,0.07825049012899399
1749816524.4688158,48,0.07716073095798492
1749816785.810954,49,0.07994208484888077
1749817058.4090219,50,0.08440542966127396
1749817334.558767,51,0.10078238695859909
1749817627.829105,52,0.09250486642122269
1749817917.8204448,53,0.0756986141204834
1749818182.1733718,54,0.10169115662574768
1749818453.942734,55,0.0913599357008934
1749818735.0870001,56,0.08455567061901093
1749819006.6105778,57,0.08322755247354507
1749819269.223188,58,0.06831178069114685
1749819552.255747,59,0.06462287902832031
1749819832.4981298,60,0.06621577590703964
1749820099.011251,61,0.08008280396461487
1749820364.016052,62,0.09624960273504257
1749820626.1296902,63,0.09151142090559006
1749820889.560621,64,0.04774782434105873
1749821153.676713,65,0.0350290946662426
1749821411.4206898,66,0.03803873062133789
1749822857.400037,67,0.031274620443582535
1749823136.3465679,68,0.030782360583543777
1749823411.162899,69,0.035272736102342606
1749823681.228735,70,0.024064742028713226
1749823961.744001,71,0.02998853288590908
1749824228.147279,72,0.027533739805221558
1749824509.0104902,73,0.029214119538664818
1749824780.8453288,74,0.028409834951162338
1749825051.450679,75,0.024578196927905083
1749825327.410589,76,0.025341050699353218
1749825604.1786702,77,0.029543772339820862
1749825894.76932,78,0.02931060642004013
1749826182.075468,79,0.025274846702814102
1749826456.548012,80,0.028000712394714355
1749826720.723992,81,0.026780812069773674
1749827000.380529,82,0.030334006994962692
1749827296.2422268,83,0.02481880597770214
1749827570.405514,84,0.0192722100764513
1749827870.389824,85,0.021413661539554596
1749828178.4793222,86,0.02400335483253002
1749828522.121026,87,0.019298138096928596
1749828824.772266,88,0.017789455130696297
1749829110.3210628,89,0.02694523334503174
1749829376.5458539,90,0.02102445252239704
