Wall time,Step,Value
1749590606.610817,1,2.2634902000427246
1749590853.2478569,2,2.221944808959961
1749591140.7773829,3,2.197559118270874
1749591484.481417,4,2.1530017852783203
1749591838.942173,5,2.0370051860809326
1749592098.44174,6,1.970808744430542
1749592421.053834,7,1.9699931144714355
1749592828.601079,8,1.9389688968658447
1749593308.5326478,9,1.9123815298080444
1749593985.228127,10,1.948595404624939
1749594403.1327841,11,1.9170279502868652
1749594679.565724,12,1.8569236993789673
1749594949.012492,13,1.838119626045227
1749595260.487746,14,1.7917920351028442
1749595573.1869068,15,1.7675950527191162
1749595880.0020008,16,1.7374120950698853
1749596345.929746,17,1.729660987854004
1749596871.95311,18,1.7167701721191406
1749597619.319503,19,1.6947929859161377
1749597864.1192021,20,1.6666529178619385
1749598130.079183,21,1.6738921403884888
1749598353.675263,22,1.6606987714767456
1749598625.488596,23,1.6584194898605347
1749599090.248663,24,1.6170790195465088
1749599834.4756422,25,1.6594672203063965
1749600574.7029178,26,1.648124098777771
1749601270.11681,27,1.7333383560180664
1749601644.4721138,28,1.571122169494629
1749602208.0862641,29,1.45426344871521
1749602868.7955809,30,1.3976408243179321
1749603613.3818948,31,1.3660563230514526
1749604546.112329,32,1.267251968383789
1749605561.844324,33,1.2155605554580688
1749606456.011057,34,1.2024132013320923
1749607230.690475,35,1.1087828874588013
1749608113.464913,36,1.0975794792175293
1749608886.903459,37,1.0552252531051636
1749610666.677135,38,1.0339235067367554
1749610923.78594,39,0.9675208330154419
1749611217.5221372,40,0.9726365804672241
1749611465.949835,41,0.9417005777359009
1749611963.0361211,42,0.9402475357055664
1749612307.331417,43,0.9438371062278748
1749612668.1445692,44,0.9253076314926147
1749613292.232515,45,0.8218625783920288
1749614005.0840561,46,0.8680295944213867
1749614556.2199109,47,0.8556241393089294
1749615058.318048,48,0.8467381000518799
1749615980.625626,49,0.8026142716407776
1749616854.469045,50,0.8136497735977173
1749617145.5910962,51,0.8175244331359863
1749617403.653743,52,0.7794235348701477
1749617710.1542542,53,0.7682410478591919
1749618031.413579,54,0.7721249461174011
1749678322.305846,60,0.6737802028656006
1749678590.665271,61,0.6931248903274536
1749678878.175052,62,0.7011714577674866
1749679129.569917,63,0.6633251309394836
1749679383.935967,64,0.6011881232261658
1749679630.5609229,65,0.5794048309326172
1749679873.005362,66,0.5834634304046631
1749680149.286849,67,0.5681605339050293
1749680449.310306,68,0.5748031139373779
1749680806.123564,69,0.5719316601753235
1749681050.546583,70,0.5513297915458679
1749681293.242434,71,0.5505080223083496
1749681621.3452091,72,0.5455671548843384
1749681860.150783,73,0.548445463180542
1749682163.832387,74,0.565574049949646
1749682524.958601,75,0.5540405511856079
1749682914.209389,76,0.5532841086387634
1749683355.2815921,77,0.5376791954040527
1749683711.342551,78,0.5469235181808472
1749684092.990842,79,0.5261979699134827
1749684322.116672,80,0.5427103042602539
1749684556.9526012,81,0.537079930305481
1749684857.618691,82,0.5486589074134827
1749685137.830992,83,0.5409276485443115
1749685443.835346,84,0.5441288352012634
1749685772.941626,85,0.5413561463356018
1749686106.976353,86,0.5528537631034851
1749686442.014606,87,0.5319353938102722
1749686786.345453,88,0.5368203520774841
1749687127.079295,89,0.5280888080596924
1749687467.6162639,90,0.5288435816764832
