epoch,connect_f,rate_type,block_1,block_2,block_3,block_4,block_5,block_6,block_7
0,,O_l,0.03002766821835492,0.034189034152675324,0.04638633427319226,0.055561916248218435,0.07281999330262881,0.09716466955236487,0.1291888812640766
1,,O_l,0.02918683542861595,0.03013733432099626,0.04236929695885461,0.05229698215518986,0.07508582037848395,0.10122859370601071,0.15052149317286034
2,,O_l,0.018865543979782243,0.021524261783909152,0.031624171110960816,0.0423576681463568,0.07104385650909699,0.0983298361838401,0.13777394337697074
3,,O_l,0.023754093561086567,0.018353160437162928,0.0323367892084895,0.04254103136492205,0.0803581443992821,0.0965342478709178,0.12748979448198197
4,,O_l,0.02530777454376221,0.01724244184322185,0.03288392977671581,0.037879101864926455,0.07458097440702421,0.0973685324729026,0.11849893105996624
5,,O_l,0.025952329238255818,0.01739577935622619,0.028286489280494483,0.03381188710530599,0.0714465991870777,0.09449616853181309,0.1202903953758446
6,,O_l,0.021904403696189057,0.014286905258625478,0.02283162898845501,0.03051201072899071,0.061496459686004354,0.08291543496621621,0.10925347955377254
7,,O_l,0.021387311520877188,0.01764537407471253,0.020581563313802082,0.03383783392004065,0.062305278606242964,0.08611634400513794,0.10023237348676801
8,,O_l,0.0253230158810143,0.015920344236734753,0.018953961295050545,0.034292496002472195,0.06160210274361274,0.08468930356137387,0.1009911889428491
9,,O_l,0.026016236962498846,0.014940135113827819,0.019227856988305446,0.03796213167207735,0.06645006746859164,0.08797929093644426,0.0857274510838964
10,,O_l,0.015491082324638025,0.012148374372774415,0.013528991389918971,0.03336883235622097,0.06281442040795678,0.08770105860254786,0.08327064857826577
11,,O_l,0.017014126251409717,0.014876781820176956,0.014549072798307954,0.035942017495095194,0.06427173786335164,0.09032227112366271,0.09321113105292791
12,,O_l,0.01693774840316257,0.013472585527746526,0.015902098234709318,0.03768033379907007,0.06658165734093469,0.080963134765625,0.085363989477759
13,,O_l,0.01799552196317965,0.01287983075992481,0.014330152992729666,0.03556309090004311,0.06636305113096495,0.08449300130208333,0.08804513742257884
14,,O_l,0.02712815422732551,0.010765522449940173,0.011466810295173714,0.03816308201970282,0.0703375532820418,0.09349829871375281,0.08163039748733107
15,,O_l,0.022696187770044483,0.009912324918282998,0.012037824940037084,0.03802197258751672,0.06892460316151112,0.09145210884712837,0.0918601096213401
16,,O_l,0.01810065448821128,0.009624678272384782,0.013112033809627497,0.03663554492297474,0.06505698126715583,0.08858249423740147,0.09071638777449324
17,,O_l,0.012416907258935878,0.008649550042710863,0.014113866531097136,0.03738890467463313,0.06636456326321438,0.09307022782059404,0.08999496322494369
18,,O_l,0.01083872057833113,0.008449234940984228,0.012930575791779938,0.03543120031958227,0.06107601818737683,0.07714376363668356,0.08145554001266891
19,,O_l,0.008633545524365193,0.0067381187602206394,0.010580593401247316,0.030511856079101556,0.05146150331239442,0.06716025412619651,0.07354791314752253
20,,O_l,0.024675797503273766,0.012034043535455927,0.013522519721641197,0.03911948848415065,0.06328376563819678,0.08276985787056589,0.07692739125844596
21,,O_l,0.02613399184501923,0.011744608750214448,0.011868708842509502,0.03479290867710972,0.06244470407296946,0.0845022115621481,0.08409984691722973
22,,O_l,0.01936612446028907,0.01128245957262881,0.01383659861109278,0.03612728806229326,0.06330902512009079,0.08761472959776184,0.07670414555180181
23,,O_l,0.01712152979395411,0.009691761420653748,0.012338395591254707,0.03706711262196034,0.06819441511824323,0.09207785666525903,0.07574187957488739
24,,O_l,0.020189269034712163,0.010504514784426303,0.013197495056702207,0.03742163030950873,0.0670300732861768,0.0900654835743947,0.08740399334881757
25,,O_l,0.019228554657987645,0.009754190573821197,0.012601218782029711,0.03927433598148931,0.06734150379627674,0.092675561303491,0.08830027537302927
26,,O_l,0.01789825711701367,0.00859114339759758,0.01050679318539731,0.03796883316727372,0.06410103875237542,0.09281179067250843,0.08897661088823197
27,,O_l,0.01915636108265267,0.008532807633683488,0.01167611603264336,0.0393648405332823,0.06658121057458825,0.08530694085198481,0.08069672455658786
28,,O_l,0.015776601192113514,0.008904038785814167,0.009841107033394478,0.037618293418540616,0.0612965489293004,0.08284024075344877,0.08408939945805181
29,,O_l,0.01924161357922597,0.010404755940308442,0.00995455346665941,0.0375975531500739,0.05845047546936584,0.07915874859234236,0.08174641927083333
30,,O_l,0.01876287269699681,0.010845821183007044,0.010624071499248882,0.0391612009959178,0.05843834404472831,0.08123215683945664,0.08354063291807433
31,,O_l,0.015214742572457939,0.010170614934182382,0.011763531882483679,0.035585601050574504,0.05670836165144637,0.07318252700943131,0.08354833104588963
32,,O_l,0.018054346780519228,0.008878402881794147,0.012352881130871471,0.0345637948663385,0.05611027898015203,0.06756797996727196,0.07188896660332209
33,,O_l,0.02385842357132886,0.010872614276301753,0.01743129996566085,0.04176681965321034,0.07309258950723184,0.08649836359797297,0.07590079092764639
34,,O_l,0.012966012364035254,0.009433634646304019,0.017281523695937148,0.037602579271471176,0.06577397251988316,0.08146323814048424,0.06701330236486487
35,,O_l,0.0173861728058205,0.014002951415809423,0.01464593947470725,0.0350167128416869,0.0675737191964914,0.08326253805074607,0.07178669147663289
36,,O_l,0.02026056733217325,0.017510275046030678,0.013754249693037152,0.035499632895529806,0.06979999026736698,0.08183989653716216,0.07039278047578829
37,,O_l,0.019744386544098724,0.02251199773840002,0.014953480110512124,0.03707246522645692,0.0738243584160332,0.08796183268229166,0.08026782886402029
