epoch,connect_f,rate_type,block_1,block_2,block_3,block_4,block_5,block_6,block_7
0,IAND,O_l,0.00424601902832856,0.007276395956675211,0.01042999877586021,0.022380785899119335,0.04565292220931869,0.08846908431869369,0.15177133921030406
1,IAND,O_l,0.004656630593377191,0.008030136426289875,0.011189888189504813,0.017824155790311793,0.02482708080394848,0.042792105459952136,0.08225669517173423
2,IAND,O_l,0.03197453687856863,0.038309402830965886,0.04544204205006092,0.0585924698425843,0.08017548569687852,0.12332112080342061,0.1894019874366554
3,IAND,O_l,0.04754376223495414,0.06086485181842838,0.07743290093567994,0.10995235958614864,0.14714088096274985,0.19412080232087556,0.23488307643581077
4,IAND,O_l,0.05235163115703308,0.06738689353874139,0.08565871779983109,0.12601339494859853,0.15948699401305602,0.19809977213541669,0.22881200292088963
5,IAND,O_l,0.0733489165971945,0.09213423138266212,0.10837897738894901,0.15148014206070085,0.17223000741219735,0.1962446607984938,0.22664058101069823
6,IAND,O_l,0.09959682191277408,0.11846875714826156,0.12709186957763122,0.15997089351619687,0.16517051490577492,0.17910601641680746,0.2038156320382883
7,IAND,O_l,0.08812316554086704,0.1075813517914162,0.11957269101529508,0.15696535883723078,0.15827096475137245,0.17006305316547018,0.1951002516188063
8,IAND,O_l,0.0929581885402267,0.11619500802443909,0.12705789170823653,0.1713126414530986,0.1632665342038816,0.16823997153892173,0.19564077016469594
9,IAND,O_l,0.11848220618458483,0.13872283858221932,0.14357045104911734,0.17945856661409945,0.1663169173507003,0.16633014850788289,0.1902608785543356
10,IAND,O_l,0.11786040838237283,0.13730181767059876,0.13743606773582662,0.17054715027680267,0.1602979092984586,0.16376914634360923,0.18711784294059683
11,IAND,O_l,0.14156407466879833,0.16331579287846884,0.15507836170024702,0.1797574704831785,0.15935169254337345,0.15965848355679899,0.18403034382038286
12,IAND,O_l,0.1439322860122801,0.16119641280389047,0.15094956406601917,0.16713346017373576,0.14577401650918498,0.14722160820488459,0.17361037795608109
13,IAND,O_l,0.14373025338391998,0.16106688546704817,0.1507814982989887,0.17209571975845472,0.14588869799364793,0.14642773877393017,0.16981135187922294
14,IAND,O_l,0.14424325163299972,0.16174726711737142,0.14723824165962837,0.16861519512829481,0.14812723795572919,0.14578659470016891,0.16598043355855857
15,IAND,O_l,0.14277216026911865,0.15756178009617433,0.14298332489288604,0.16350931734652135,0.142392923166086,0.13897113971882036,0.16418182098113737
16,IAND,O_l,0.1441860325164623,0.16199145177463153,0.1417885685826207,0.16135672835616377,0.13781831071183487,0.13602976756052926,0.16340650953688063
17,IAND,O_l,0.1482577655497972,0.16168365553692654,0.1382110355136631,0.15594185150421416,0.1311374011340442,0.13063805382530969,0.1537255639428491
18,IAND,O_l,0.1448570534184172,0.1571875982456379,0.12635337339865196,0.14026402138374947,0.11954841957435954,0.119561547631616,0.14127054300394143
19,IAND,O_l,0.14835817480946448,0.16172965099145697,0.13244368149353578,0.14580854639276727,0.12430294139965158,0.12551288776569536,0.14517184420748874
20,IAND,O_l,0.15936021802124675,0.1719754408071707,0.13824418213990355,0.1476800506179397,0.12514808586051873,0.12501580865533504,0.14746038763372749
21,IAND,O_l,0.17257659486285198,0.18216387591920455,0.14186396255149497,0.14621573095923074,0.12320025332339174,0.12352553359023086,0.14518724046311934
22,IAND,O_l,0.1753695134644036,0.18348966310690115,0.14091967677210904,0.1442777358733856,0.12048872526701504,0.12157763231981984,0.14552650795326574
23,IAND,O_l,0.17455935397663633,0.1822446439717267,0.14032895285803995,0.14077078329550252,0.11818100525452212,0.12206233943904843,0.14402262369791669
24,IAND,O_l,0.17385725046063327,0.18164906630644928,0.13968910397710027,0.1424709869934632,0.12142879039317636,0.12283902554898649,0.14266940280123874
25,IAND,O_l,0.1709574807334591,0.17668268809447418,0.13666036322310166,0.13886608948578708,0.12299230077245213,0.12145033827773084,0.13922778980152026
26,IAND,O_l,0.17641593582995302,0.17611886413247735,0.14031901875057737,0.14163884171494495,0.12373630420581715,0.12257316520622186,0.1428734031883446
27,IAND,O_l,0.17792561005901647,0.17713954856803824,0.14025257084820722,0.13882871576257652,0.11976056485562714,0.11856835167687217,0.13722352723817569
