Wall time,Step,Value
1749831953.269071,0,86.0544204711914
1749832165.336123,1,97.36394500732422
1749832399.987051,2,98.21428680419922
1749832664.9179718,3,99.3197250366211
1749832924.2688792,4,98.63945770263672
1749833174.948684,5,99.06462860107422
1749833438.9383948,6,99.23469543457031
1749833697.564799,7,99.5748291015625
1749833966.859621,8,99.65986633300781
1749834227.888222,9,99.8299331665039
1749834484.2689862,10,99.48979949951172
1749834740.723903,11,100.0
1749834993.720027,12,100.0
1749835247.4297118,13,99.91496276855469
1749835500.96677,14,99.5748291015625
1749835749.4023008,15,99.91496276855469
1749836011.853088,16,99.91496276855469
1749836270.2981498,17,99.91496276855469
1749836520.8328729,18,99.8299331665039
1749836781.173152,19,99.3197250366211
1749837045.454429,20,99.8299331665039
1749837300.12384,21,100.0
1749837554.132843,22,99.8299331665039
1749837811.490068,23,99.8299331665039
1749838082.378036,24,100.0
1749838344.622091,25,99.91496276855469
1749838613.68453,26,100.0
1749839309.2563431,27,99.91496276855469
1749840489.4327428,28,100.0
1749840879.404177,29,99.8299331665039
1749841145.6946828,30,100.0
1749841415.643716,31,100.0
1749841684.636291,32,99.5748291015625
1749841938.335325,33,99.91496276855469
1749842197.841644,34,99.5748291015625
1749842455.803531,35,99.91496276855469
1749842713.303916,36,99.8299331665039
1749842968.5767958,37,100.0
1749843224.350601,38,100.0
1749843486.259147,39,99.91496276855469
1749843739.952914,40,100.0
1749844003.5194082,41,100.0
1749844260.539692,42,100.0
1749844529.503841,43,99.91496276855469
1749844793.420038,44,100.0
1749845081.186881,45,100.0
1749845360.9967942,46,100.0
1749845635.0091991,47,100.0
1749845889.3112772,48,100.0
1749846141.5907578,49,100.0
1749846391.539009,50,100.0
1749846643.108693,51,100.0
1749846892.483965,52,100.0
1749849740.953131,53,99.91496276855469
1749849997.995936,54,99.91496276855469
1749850250.825953,55,100.0
1749852770.605865,56,100.0
1749855196.749963,57,100.0
1749855450.267495,58,100.0
1749855702.604845,59,99.91496276855469
1749857980.571083,60,99.91496276855469
1749863476.978078,61,100.0
1749863740.9570189,62,100.0
1749864024.486472,63,100.0
1749866198.642963,64,100.0
1749869335.051268,65,100.0
1749869575.5500429,66,100.0
1749870805.3263092,67,100.0
1749872001.7307851,68,100.0
1749874624.252556,69,100.0
1749874868.366807,70,100.0
1749876096.929416,71,100.0
1749876346.021837,72,100.0
1749876662.541674,73,100.0
1749877042.359067,74,99.91496276855469
1749877456.325136,75,100.0
1749877895.393993,76,100.0
1749878386.715012,77,100.0
1749878829.510342,78,100.0
1749879269.1204731,79,100.0
1749880579.205075,80,100.0
1749880826.661231,81,100.0
1749881212.367062,82,100.0
1749881631.1513731,83,100.0
1749881955.494485,84,100.0
1749882216.606207,85,100.0
1749883494.981529,86,100.0
1749884763.123611,87,100.0
1749885020.349962,88,100.0
1749885277.3141792,89,100.0
1749885532.6082509,90,100.0
