Wall time,Step,Value
1749571815.8247209,0,58.75850296020508
1749571995.137016,1,79.33673095703125
1749572180.3373492,2,89.88095092773438
1749572368.302704,3,96.59864044189453
1749572557.239059,4,97.44898223876953
1749572748.599366,5,98.5544204711914
1749572940.678915,6,98.8945541381836
1749573132.899002,7,99.23469543457031
1749573319.966076,8,99.4047622680664
1749573509.7217238,9,99.4047622680664
1749573699.973779,10,99.65986633300781
1749573892.3666298,11,99.65986633300781
1749574083.391326,12,99.8299331665039
1749574275.139919,13,99.91496276855469
1749574457.432663,14,99.8299331665039
1749574650.496521,15,99.91496276855469
1749574830.0745249,16,99.8299331665039
1749575020.2898629,17,99.8299331665039
1749575208.16485,18,100.0
1749575396.221399,19,100.0
1749575583.870616,20,100.0
1749575767.7272089,21,99.8299331665039
1749575954.688585,22,99.8299331665039
1749576138.350806,23,99.8299331665039
1749576325.198247,24,99.91496276855469
1749576514.95566,25,99.8299331665039
1749576705.386368,26,99.8299331665039
1749576895.244658,27,100.0
1749577085.30454,28,99.91496276855469
1749577265.2773938,29,100.0
1749577445.65806,30,100.0
1749577638.72858,31,100.0
1749577827.267364,32,100.0
1749578012.46674,33,99.91496276855469
1749578192.3196878,34,100.0
1749578372.404947,35,100.0
1749578550.329088,36,100.0
1749578987.4386969,37,100.0
1749579173.43925,38,99.91496276855469
1749579353.253628,39,100.0
1749579534.976577,40,100.0
1749580168.2825348,41,100.0
1749580348.511308,42,100.0
1749580527.709229,43,100.0
1749580707.23738,44,100.0
1749580897.9797719,45,100.0
1749581100.549817,46,100.0
1749581285.1742651,47,100.0
1749581466.607297,48,100.0
1749581646.19723,49,100.0
1749581828.4207292,50,100.0
1749582009.761322,51,100.0
1749582190.883947,52,99.91496276855469
1749582371.5933518,53,100.0
1749582553.330684,54,99.91496276855469
1749582733.994866,55,100.0
1749585614.889157,56,100.0
1749588759.598975,57,100.0
1749591831.493338,58,100.0
1749592017.141851,59,100.0
1749592200.7970078,60,100.0
1749592384.296115,61,100.0
1749592564.07286,62,100.0
1749593032.715752,63,100.0
1749593211.888017,64,100.0
1749593391.522347,65,100.0
1749593570.597271,66,100.0
1749593749.366981,67,100.0
1749593929.426966,68,100.0
1749594110.581732,69,100.0
1749594290.99607,70,100.0
1749594471.383439,71,100.0
1749594651.04577,72,100.0
1749594831.406156,73,100.0
1749595010.909087,74,100.0
1749595190.922923,75,100.0
1749595369.983948,76,100.0
1749599256.432544,77,100.0
1749600428.713943,78,100.0
1749600601.8857632,79,100.0
1749600774.2550359,80,100.0
1749600947.5094001,81,100.0
1749601129.82741,82,100.0
1749601328.502919,83,100.0
1749601501.071469,84,100.0
1749601673.525697,85,100.0
1749601847.855034,86,100.0
1749602020.192584,87,100.0
1749602193.4753852,88,100.0
1749602365.491897,89,100.0
1749602538.614966,90,100.0
