Wall time,Step,Value
1749590606.6113129,1,57.3979606628418
1749590853.248183,2,68.11224365234375
1749591140.777576,3,70.15306091308594
1749591484.481898,4,72.10884094238281
1749591838.9427998,5,76.19047546386719
1749592098.442275,6,80.86734771728516
1749592421.054209,7,77.21088409423828
1749592828.6012878,8,77.7210922241211
1749593308.533401,9,80.69728088378906
1749593985.228982,10,76.95578002929688
1749594403.132961,11,78.91156768798828
1749594679.566248,12,81.97278594970703
1749594949.012753,13,81.37754821777344
1749595260.488246,14,84.01360321044922
1749595573.1875541,15,82.99319458007812
1749595880.002815,16,83.75850677490234
1749596345.930529,17,84.09864044189453
1749596871.953572,18,84.52381134033203
1749597619.319699,19,85.37415313720703
1749597864.120019,20,87.6700668334961
1749598130.07935,21,85.11904907226562
1749598353.6756601,22,87.41496276855469
1749598625.488971,23,89.71088409423828
1749599090.249656,24,87.9251708984375
1749599834.476235,25,89.71088409423828
1749600574.703817,26,91.32653045654297
1749601270.117789,27,88.86054229736328
1749601644.472735,28,94.38775634765625
1749602208.08687,29,94.89795684814453
1749602868.796492,30,94.98299407958984
1749603613.38257,31,96.08843231201172
1749604546.113251,32,96.42857360839844
1749605561.844655,33,97.02381134033203
1749606456.012007,34,97.02381134033203
1749607230.690593,35,97.87415313720703
1749608113.46563,36,98.38435363769531
1749608886.90417,37,98.29931640625
1749610666.67773,38,98.1292495727539
1749610923.7865112,39,98.7244873046875
1749611217.522326,40,98.80952453613281
1749611465.9500601,41,99.3197250366211
1749611963.036337,42,98.46939086914062
1749612307.332155,43,98.7244873046875
1749612668.1451461,44,98.8945541381836
1749613292.2327302,45,99.5748291015625
1749614005.085494,46,99.3197250366211
1749614556.220106,47,99.149658203125
1749615058.318804,48,99.4047622680664
1749615980.6262422,49,99.5748291015625
1749616854.4697862,50,99.48979949951172
1749617145.5914109,51,99.4047622680664
1749617403.654079,52,99.23469543457031
1749617710.154824,53,99.4047622680664
1749618031.413964,54,99.5748291015625
1749678322.30601,60,99.7448959350586
1749678590.6656268,61,99.5748291015625
1749678878.175675,62,99.5748291015625
1749679129.570712,63,99.91496276855469
1749679383.936838,64,99.91496276855469
1749679630.561611,65,99.8299331665039
1749679873.006542,66,99.7448959350586
1749680149.287512,67,100.0
1749680449.3110888,68,99.91496276855469
1749680806.124,69,99.8299331665039
1749681050.546726,70,99.91496276855469
1749681293.2429922,71,99.91496276855469
1749681621.345794,72,99.91496276855469
1749681860.151157,73,99.91496276855469
1749682163.833057,74,99.8299331665039
1749682524.959939,75,100.0
1749682914.209783,76,99.91496276855469
1749683355.282569,77,99.91496276855469
1749683711.3432362,78,99.8299331665039
1749684092.991426,79,100.0
1749684322.116836,80,99.91496276855469
1749684556.952756,81,99.91496276855469
1749684857.61887,82,99.91496276855469
1749685137.83183,83,99.91496276855469
1749685443.835551,84,100.0
1749685772.9425101,85,100.0
1749686106.9765801,86,99.7448959350586
1749686442.0149498,87,99.91496276855469
1749686786.345928,88,100.0
1749687127.080043,89,100.0
1749687467.6170938,90,99.91496276855469
